                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4505,                  4.625,                 3.8183,                0.00113,                0.33803,                0.00107,                 0.0003,                 2.6959,                 4.5465,                 3.5495,             0.00065965,             0.00065965,             0.00065965
                      2,                 2.3551,                 2.5543,                 2.6593,                0.76433,                 0.8169,                0.86089,                  0.331,                 1.9914,                 2.2502,                 2.6605,              0.0012738,              0.0012738,              0.0012738
                      3,                 1.9815,                  1.773,                 2.2445,                0.88332,                0.79973,                0.90053,                0.49017,                  1.515,                 1.5318,                 2.1516,              0.0018351,              0.0018351,              0.0018351
                      4,                 1.8441,                 1.4607,                 2.0773,                 0.8952,                 0.8662,                0.94282,                0.47819,                 1.6681,                 1.5808,                 2.2319,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.7486,                 1.2801,                 2.0037,                  0.978,                0.93911,                0.99053,                0.58271,                 1.4329,                0.80723,                 2.0009,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.7028,                 1.1835,                  1.933,                0.95003,                0.93712,                 0.9842,                0.55372,                 1.3519,                0.95923,                 1.9239,              0.0016832,              0.0016832,              0.0016832
                      7,                  1.624,                 1.0725,                 1.8966,                0.99751,                0.94366,                0.99067,                0.60864,                 1.2919,                0.71092,                 1.8425,               0.001604,               0.001604,               0.001604
                      8,                 1.6089,                 1.0355,                 1.8553,                0.96467,                0.91549,                0.97452,                0.53439,                 1.5053,                0.87838,                  2.021,              0.0015248,              0.0015248,              0.0015248
                      9,                  1.563,                0.95746,                 1.8407,                0.99616,                      1,                  0.995,                0.65516,                 1.2309,                0.72226,                 1.8007,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.5156,                0.88765,                 1.7579,                0.98009,                0.98592,                0.99437,                 0.6784,                 1.1378,                0.58447,                 1.6746,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.4581,                0.82258,                 1.7283,                0.99301,                0.99983,                  0.995,                0.68559,                 1.1578,                0.53684,                 1.7135,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.4535,                0.81192,                 1.7395,                0.99617,                      1,                  0.995,                0.67035,                 1.1553,                0.59912,                 1.6994,               0.001208,               0.001208,               0.001208
                     13,                 1.4198,                0.77618,                 1.6938,                      1,                0.99893,                  0.995,                 0.6886,                 1.0962,                0.51396,                 1.6216,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.3989,                0.75872,                 1.6799,                0.99281,                      1,                  0.995,                0.70059,                 1.1303,                0.51251,                 1.6398,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.3787,                0.74086,                 1.6651,                0.99283,                0.97459,                0.99438,                0.69702,                 1.1433,                0.51383,                 1.6394,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.3258,                0.62431,                 1.8219,                0.99802,                      1,                  0.995,                0.70934,                 1.0705,                0.49779,                 1.5887,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.2722,                0.59089,                 1.7773,                0.99813,                      1,                  0.995,                0.71162,                 1.0427,                0.47053,                 1.5937,               0.000812,               0.000812,               0.000812
                     18,                 1.2653,                0.56591,                 1.7672,                0.99904,                      1,                  0.995,                0.71251,                   1.06,                0.45508,                 1.5607,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.2444,                0.53864,                 1.7467,                  0.999,                      1,                  0.995,                0.75312,                 0.9985,                0.43562,                 1.5159,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.2177,                0.53318,                 1.7151,                0.99907,                      1,                  0.995,                0.71347,                 1.1056,                0.45636,                 1.6048,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.2124,                0.51972,                 1.7076,                0.99929,                      1,                  0.995,                0.75357,                0.97029,                0.40737,                 1.4651,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.1794,                0.49511,                 1.6825,                0.99942,                      1,                  0.995,                0.74292,                 1.0412,                0.42931,                 1.5344,               0.000416,               0.000416,               0.000416
                     23,                  1.173,                0.48067,                 1.6603,                0.99929,                      1,                  0.995,                0.75719,                 0.9383,                0.40618,                 1.4356,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.1313,                0.47918,                 1.6336,                0.99898,                      1,                  0.995,                 0.7528,                0.98075,                0.40626,                 1.4792,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.1167,                0.46814,                 1.6405,                0.99944,                      1,                  0.995,                0.75845,                0.96503,                0.39666,                 1.4558,              0.0001784,              0.0001784,              0.0001784
